Group Id,Question Group,Answer Group
11,"I do want to meet with you and take a look at your catalogue . We ’ re redecorating and are going to add some things . Well , I ’ ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week . Oh , I ’ m doing great , thank you .
I do want to meet with you and take a look at your catalogue . We ’ re redecorating and are going to add some things . Well , I ’ ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week . I ’ m sorry . I didn ’ t know that .
I do want to meet with you and take a look at your catalogue . We ’ re redecorating and are going to add some things . Well , I ’ ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week . I ’ m sorry . I didn ’ t know .
I do want to meet with you and take a look at your catalogue . We ’ re redecorating and are going to add some things . Well , I ’ ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week . Oh , I ’ m sorry . I didn ’ t know that .
I do want to meet with you and take a look at your catalogue . We ’ re redecorating and are going to add some things . Well , I ’ ll be glad to help you out . I can come out anytime on Tuesday or Thursday of next week . I ’ m sorry . I didn ’ t know that . It ’ t mind .","The pleasure is that for you .
That ’ s all right . I ’ m really sorry .
Thank you for your invitation . I ’ m really sorry .
That ’ s all right . I ’ m really sorry .
That ’ s all right . I ’ m really sorry ."
12,"Shall we share a taxi ? Where are you heading now ? I want to go back to my college on the Huanghe road.It is very close to your house . Is that the university next to the Teachers ' College ? That's the one . You mean we'll share the taxi ? Yes , I'd like five croissants , too .
Shall we share a taxi ? Where are you heading now ? I want to go back to my college on the Huanghe road.It is very close to your house . Is that the university next to the Teachers ' College ? That's the one . You mean we'll share the taxi ? Yes , I'd like another cup of coffee .
Shall we share a taxi ? Where are you heading now ? I want to go back to my college on the Huanghe road.It is very close to your house . Is that the university next to the Teachers ' College ? That's the one . You mean we'll share the taxi ? Yes , I'd like another cup of coffee afterwards .
Shall we share a taxi ? Where are you heading now ? I want to go back to my college on the Huanghe road.It is very close to your house . Is that the university next to the Teachers ' College ? That's the one . You mean we'll share the taxi ? Yes , I'd like to insure it for 20 dollars .
Shall we share a taxi ? Where are you heading now ? I want to go back to my college on the Huanghe road.It is very close to your house . Is that the university next to the Teachers ' College ? That's the one . You mean we'll share the taxi ? Yes , I'd like another cup of coffee . Make it .","Is there any difference ?
What time ?
What time ?
What day are you going to make ?
What time ?"
13,"I am calling to find out why I didn ’ t receive an unemployment check this week . Did you send in your Continued Claim Form for the last period ? I think I forgot to send it in ! You need to be very careful to send that form in every two weeks if you want to get paid . Can I send it in now ? You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ’ t been , we will still accept it . Can I mail it in early next time so it isn ’ t late ? Actually , you cannot mail it in early , as it needs to reflect all of the information up to the due date . Thank you very much .
I am calling to find out why I didn ’ t receive an unemployment check this week . Did you send in your Continued Claim Form for the last period ? I think I forgot to send it in ! You need to be very careful to send that form in every two weeks if you want to get paid . Can I send it in now ? You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ’ t been , we will still accept it . Can I mail it in early next time so it isn ’ t late ? Actually , you cannot mail it in early , as it needs to reflect all of the information up to the due date . Thank you very much indeed.You helped me rebuild my self-confidence .
I am calling to find out why I didn ’ t receive an unemployment check this week . Did you send in your Continued Claim Form for the last period ? I think I forgot to send it in ! You need to be very careful to send that form in every two weeks if you want to get paid . Can I send it in now ? You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ’ t been , we will still accept it . Can I mail it in early next time so it isn ’ t late ? Actually , you cannot mail it in early , as it needs to reflect all of the information up to the due date . Thank you , Mr .
I am calling to find out why I didn ’ t receive an unemployment check this week . Did you send in your Continued Claim Form for the last period ? I think I forgot to send it in ! You need to be very careful to send that form in every two weeks if you want to get paid . Can I send it in now ? You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ’ t been , we will still accept it . Can I mail it in early next time so it isn ’ t late ? Actually , you cannot mail it in early , as it needs to reflect all of the information up to the due date . Thank you , Mr . White .
I am calling to find out why I didn ’ t receive an unemployment check this week . Did you send in your Continued Claim Form for the last period ? I think I forgot to send it in ! You need to be very careful to send that form in every two weeks if you want to get paid . Can I send it in now ? You should look at your claim form and see if it has been more than fourteen days since it was due . If it hasn ’ t been , we will still accept it . Can I mail it in early next time so it isn ’ t late ? Actually , you cannot mail it in early , as it needs to reflect all of the information up to the due date . Thank you very much indeed.You helped me , my self-confidence .","You're welcome .
Ok , I will be able to help you with that .
You ’ re welcome .
You ’ re welcome .
You are welcome ."
14,"What are the factors that have great impact on the perspective of this corporation ? External factors . I think the main external factors are political , economic , social and technological factors . Thank you very much indeed.You helped me rebuild my self-confidence .
What are the factors that have great impact on the perspective of this corporation ? External factors . I think the main external factors are political , economic , social and technological factors . Thank you very much .
What are the factors that have great impact on the perspective of this corporation ? External factors . I think the main external factors are political , economic , social and technological factors . Thank you , Mr . White .
What are the factors that have great impact on the perspective of this corporation ? External factors . I think the main external factors are political , economic , social and technological factors . No , I wouldn't worry . Thank you !
What are the factors that have great impact on the perspective of this corporation ? External factors . I think the main external factors are political , economic , social and technological factors . No , I wouldn't worry . Thank you .","That's a great idea .
You are welcome !
Pleased to meet you too , too .
You're welcome !
You are welcome , don't you ?"
15,"What's your favorite book ? It's Gone With the Wind . Why do you like it best ? I enjoy the various characters and the plot . Well . I like the Thom Birds best . Is it very interesting ? Sure . I like the writer's language , too . If I have a chance , I'll enjoy the book . Thank you very much indeed.You helped me rebuild my self-confidence .
What's your favorite book ? It's Gone With the Wind . Why do you like it best ? I enjoy the various characters and the plot . Well . I like the Thom Birds best . Is it very interesting ? Sure . I like the writer's language , too . If I have a chance , I'll enjoy the book . Thank you very much .
What's your favorite book ? It's Gone With the Wind . Why do you like it best ? I enjoy the various characters and the plot . Well . I like the Thom Birds best . Is it very interesting ? Sure . I like the writer's language , too . If I have a chance , I'll enjoy the book . No , I wouldn't worry . Thank you !
What's your favorite book ? It's Gone With the Wind . Why do you like it best ? I enjoy the various characters and the plot . Well . I like the Thom Birds best . Is it very interesting ? Sure . I like the writer's language , too . If I have a chance , I'll enjoy the book . No , I wouldn't worry . Thank you .
What's your favorite book ? It's Gone With the Wind . Why do you like it best ? I enjoy the various characters and the plot . Well . I like the Thom Birds best . Is it very interesting ? Sure . I like the writer's language , too . If I have a chance , I'll enjoy the book . Thank you very much indeed.You helped me rebuild my assistance !","OK .
You're welcome !
You're welcome !
You are welcome .
Would you like to see it ?"
16,"I'm looking for a string of pearls for my wife . Yes , sir . What price range do you have in mind ? I'm not sure . I don't know very much about the price of pearls . I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars . Is there a price reduction ? We are having a sale now . The price has already gone down . Thank you .
I'm looking for a string of pearls for my wife . Yes , sir . What price range do you have in mind ? I'm not sure . I don't know very much about the price of pearls . I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars . Is there a price reduction ? We are having a sale now . The price has already gone down . Thank you for your help .
I'm looking for a string of pearls for my wife . Yes , sir . What price range do you have in mind ? I'm not sure . I don't know very much about the price of pearls . I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars . Is there a price reduction ? We are having a sale now . The price has already gone down . OK , I'll check .
I'm looking for a string of pearls for my wife . Yes , sir . What price range do you have in mind ? I'm not sure . I don't know very much about the price of pearls . I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars . Is there a price reduction ? We are having a sale now . The price has already gone down . OK , I'll just check .
I'm looking for a string of pearls for my wife . Yes , sir . What price range do you have in mind ? I'm not sure . I don't know very much about the price of pearls . I see . Let me show you some samples of various qualities . This one is very nice . It's three hundred and fifty dollars . Is there a price reduction ? We are having a sale now . The price has already gone down . OK , I'll just check out .","You can have a different carpet .
No , you can make it .
All right . Let's go .
All right . Let's go .
All right . Let's go ."
17,"Could you tell me the origin of the Dragon-Boat Festival ? Yes , it's a way to commemorate a great ancient romantic poet , and the race is a symbol of the attempt to save him . Thank you very much .
Could you tell me the origin of the Dragon-Boat Festival ? Yes , it's a way to commemorate a great ancient romantic poet , and the race is a symbol of the attempt to save him . Thank you very much indeed.You helped me rebuild my self-confidence .
Could you tell me the origin of the Dragon-Boat Festival ? Yes , it's a way to commemorate a great ancient romantic poet , and the race is a symbol of the attempt to save him . That ’ s right .
Could you tell me the origin of the Dragon-Boat Festival ? Yes , it's a way to commemorate a great ancient romantic poet , and the race is a symbol of the attempt to save him . That ’ s right . I ’ Ve never really liked the time .
Could you tell me the origin of the Dragon-Boat Festival ? Yes , it's a way to commemorate a great ancient romantic poet , and the race is a symbol of the attempt to save him . That ’ s right . I ’ Ve never really liked the phone .","You're welcome .
Ok , I'll get it .
Ok
Oh , that ’ s too bad .
Oh , you ’ re crazy ?"
18,"You seem to very busy these days . What are you doing ? I am swapped with work after 10 - day holiday . Well , I want to surprise my brother showing up .
You seem to very busy these days . What are you doing ? I am swapped with work after 10 - day holiday . Yes , I'd like five croissants , too .
You seem to very busy these days . What are you doing ? I am swapped with work after 10 - day holiday . Well , I want to surprise my brother showing .
You seem to very busy these days . What are you doing ? I am swapped with work after 10 - day holiday . Well , I want to surprise my brother showing up for his birthday .
You seem to very busy these days . What are you doing ? I am swapped with work after 10 - day holiday . Well , I want to surprise my brother showing up for a week .","You have to get promoted , shall we ?
What's the rate ?
You have to get promoted , shall we ?
I wish I were you .
I wish to give you a break , shall we ?"
19,"Do you have maps of downtown area ? Yes , here you are . Yes , please .
Do you have maps of downtown area ? Yes , here you are . Do you have any plans ?
Do you have maps of downtown area ? Yes , here you are . Yes , I like the style.Can I try this on ?
Do you have maps of downtown area ? Yes , here you are . Do you have any idea ?
Do you have maps of downtown area ? Yes , here you are . Yes , I like the style.Can I have this on ?","Would you like a bottle of glasses or tea ?
Yes , I have one .
Sure . Here you are .
Yes , I do .
Sure ."
20,"Can I have the roll of film developed here ? Surely of course . Why ?
Can I have the roll of film developed here ? Surely of course . Do you have any plans ?
Can I have the roll of film developed here ? Surely of course . Do you think it leaves ?
Can I have the roll of film developed here ? Surely of course . Yes , I like the style.Can I try this on ?
Can I have the roll of film developed here ? Surely of course . Yes , I like the style.Can I have this on ?","I don't know the exact time .
Yes , I have one .
I think it is .
Sure . Here you are .
Sure . Here you are ."
21,"How may I help you ? I ’ m having a problem . What problem are you having ? There have been charges made on my debit card that I didn ’ t make . Do you have the statement for your card ? Here it is . What are the charges you ’ re referring to ? The last four charges on the page . I ’ m afraid we ’ re going to have to investigate these charges . How long will an investigation take ? Well , I want to surprise my brother showing up .
How may I help you ? I ’ m having a problem . What problem are you having ? There have been charges made on my debit card that I didn ’ t make . Do you have the statement for your card ? Here it is . What are the charges you ’ re referring to ? The last four charges on the page . I ’ m afraid we ’ re going to have to investigate these charges . How long will an investigation take ? Well , I want to surprise my brother showing .
How may I help you ? I ’ m having a problem . What problem are you having ? There have been charges made on my debit card that I didn ’ t make . Do you have the statement for your card ? Here it is . What are the charges you ’ re referring to ? The last four charges on the page . I ’ m afraid we ’ re going to have to investigate these charges . How long will an investigation take ? Well , I want to surprise my brother showing up for his birthday .
How may I help you ? I ’ m having a problem . What problem are you having ? There have been charges made on my debit card that I didn ’ t make . Do you have the statement for your card ? Here it is . What are the charges you ’ re referring to ? The last four charges on the page . I ’ m afraid we ’ re going to have to investigate these charges . How long will an investigation take ? Well , I ’ m doing okay . And how about yourself ?
How may I help you ? I ’ m having a problem . What problem are you having ? There have been charges made on my debit card that I didn ’ t make . Do you have the statement for your card ? Here it is . What are the charges you ’ re referring to ? The last four charges on the page . I ’ m afraid we ’ re going to have to investigate these charges . How long will an investigation take ? Oh , I ’ m sorry . I didn ’ t know that .","Good .
Good . That ’ s going to be a problem .
Well , that ’ s too bad .
Not so well . But I just want to have a few different sports .
Can I for you ?"
22,"Hi , is this Professor Clark ’ s office ? This is Professor Clark speaking . Hi , this is Kalina from your morning literature class . Yes , what can I do for you ? I had a skydiving accident over the weekend and won ’ t be able to come to school today . My goodness ! Are you OK ? I broke my leg , but it is healing . How long will you be out of class ? Really ? I ’ m surprised .
Hi , is this Professor Clark ’ s office ? This is Professor Clark speaking . Hi , this is Kalina from your morning literature class . Yes , what can I do for you ? I had a skydiving accident over the weekend and won ’ t be able to come to school today . My goodness ! Are you OK ? I broke my leg , but it is healing . How long will you be out of class ? Really ? I ’ ll love it .
Hi , is this Professor Clark ’ s office ? This is Professor Clark speaking . Hi , this is Kalina from your morning literature class . Yes , what can I do for you ? I had a skydiving accident over the weekend and won ’ t be able to come to school today . My goodness ! Are you OK ? I broke my leg , but it is healing . How long will you be out of class ? That ’ s what I ’ Ve heard .
Hi , is this Professor Clark ’ s office ? This is Professor Clark speaking . Hi , this is Kalina from your morning literature class . Yes , what can I do for you ? I had a skydiving accident over the weekend and won ’ t be able to come to school today . My goodness ! Are you OK ? I broke my leg , but it is healing . How long will you be out of class ? That ’ s what I ’ Ve heard . But as far takes a genius to figure it out . Can you pass the sugar ?
Hi , is this Professor Clark ’ s office ? This is Professor Clark speaking . Hi , this is Kalina from your morning literature class . Yes , what can I do for you ? I had a skydiving accident over the weekend and won ’ t be able to come to school today . My goodness ! Are you OK ? I broke my leg , but it is healing . How long will you be out of class ? That ’ s what I ’ Ve heard . But as far takes a genius to figure it out . Can you pass at night ?","Ok , do you have a message ?
Do you have a card ?
Whatever you have .
That ’ s all right .
That ’ s very nice ."
23,"Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ? I am cooking now ! Are you good at cooking ? I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking ! It is a good idea . What dish are you cooking now ? ! I am steaming fish in a pressure cooker . Have you ever tried steamed fish ? Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty . That's the case . I think there is not enough time to steam it and soy sauce is too much . I have the same idea as yours . It's OK . Please have a taste of it . Thank you . Oh , it's very delicious . Thank you for your praise . Besides steamed fish , what else are you good at cooking ? I am good at stewing beef with potato , frying chicken , hot and sour soup etc . So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ? Why not ? It is a good opportunity for me to practise cooking . Yes . Our guest team is really tough .
Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ? I am cooking now ! Are you good at cooking ? I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking ! It is a good idea . What dish are you cooking now ? ! I am steaming fish in a pressure cooker . Have you ever tried steamed fish ? Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty . That's the case . I think there is not enough time to steam it and soy sauce is too much . I have the same idea as yours . It's OK . Please have a taste of it . Thank you . Oh , it's very delicious . Thank you for your praise . Besides steamed fish , what else are you good at cooking ? I am good at stewing beef with potato , frying chicken , hot and sour soup etc . So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ? Why not ? It is a good opportunity for me to practise cooking . Yes , I am .
Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ? I am cooking now ! Are you good at cooking ? I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking ! It is a good idea . What dish are you cooking now ? ! I am steaming fish in a pressure cooker . Have you ever tried steamed fish ? Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty . That's the case . I think there is not enough time to steam it and soy sauce is too much . I have the same idea as yours . It's OK . Please have a taste of it . Thank you . Oh , it's very delicious . Thank you for your praise . Besides steamed fish , what else are you good at cooking ? I am good at stewing beef with potato , frying chicken , hot and sour soup etc . So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ? Why not ? It is a good opportunity for me to practise cooking . Well , I want to surprise my brother showing up .
Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ? I am cooking now ! Are you good at cooking ? I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking ! It is a good idea . What dish are you cooking now ? ! I am steaming fish in a pressure cooker . Have you ever tried steamed fish ? Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty . That's the case . I think there is not enough time to steam it and soy sauce is too much . I have the same idea as yours . It's OK . Please have a taste of it . Thank you . Oh , it's very delicious . Thank you for your praise . Besides steamed fish , what else are you good at cooking ? I am good at stewing beef with potato , frying chicken , hot and sour soup etc . So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ? Why not ? It is a good opportunity for me to practise cooking . Yes , I'd like to insure it .
Good evening , Saliva . What's that wonderful aroma from your kitchen ? What are you doing now ? I am cooking now ! Are you good at cooking ? I have studied its skills recently at a training school . I plan to run a restaurant , so I have to practise cooking ! It is a good idea . What dish are you cooking now ? ! I am steaming fish in a pressure cooker . Have you ever tried steamed fish ? Yes , I have . But the taste of steamed fish at that restaurant is not delicious . The fish is not well-done and too salty . That's the case . I think there is not enough time to steam it and soy sauce is too much . I have the same idea as yours . It's OK . Please have a taste of it . Thank you . Oh , it's very delicious . Thank you for your praise . Besides steamed fish , what else are you good at cooking ? I am good at stewing beef with potato , frying chicken , hot and sour soup etc . So many dishes . Next Friday week is my birthday . I would like to invite you to cook for my dinner party , OK ? Why not ? It is a good opportunity for me to practise cooking . Yes , I'd like to insure it for 20 dollars .","Well , how about you ?
Me , too .
Me , too .
It's beautiful , we'll have to be able to make it .
If you like the way , you can make it , too ."
